full_name,email,phone,company,job_title,city,state,zip,notes
 Mike Johnson,MIKE.JOHNSON80@OUTLOOK.COM,,north ridge llc,Manager,Dover , DE ,,new lead
Mike Johnson,MIKE.JOHNSON80@OUTLOOK.COM,,north ridge llc,Manager,Dover , DE ,,new lead
  Jane Robinson  ,JANE.ROBINSON65@COMPANYMAIL.COM,(782)129-3846,ATLANTIC HOME GROUP,,Richmond,NC,14334,Needs follow-up
Chris Brown ,  chris.brown39@companymail.com  ,(938)740-9123, Atlantic Home Group,Owner,MIAMI,nc,,n/a
BRITTANY SMITH,brittany.smith44@outlook.com,(260) 122-3420,Harbor Dental ,,atlanta,DE,00000,duplicate possible
  Nicole Thompson  ,nicole.thompson13@companymail.com ,N/A, Iron Oak Logistics,Manager,philadelphia,FL,,new lead
 Emily Harris,  emily.harris24@example.com  ,(260) 636-1554, Atlantic Home Group,Manager,  Philadelphia  ,OH,18908, contacted  
Unknown,none,,,,,md,,missing data
,,,N/A,,Austin,,,
James Anderson ,  james.anderson81@yahoo.com  ,N/A,Summit Roofing ,Sales Rep,austin, PA ,00000,Needs follow-up
Ashley Brown, ashley.brown73@example.com,(706)971-6325, Greenline Supply,Manager,austin,de,,duplicate possible
CHRIS TAYLOR,chris.taylor73@yahoo.com ,N/A,Summit Roofing ,Coordinator,  Miami  ,pa,00000,VIP
john thomas,  john.thomas33@gmail.com  ,(648)850-7875, Pine Street Auto,Analyst, Dover,va,81568,n/a
rachel moore,  RACHEL.MOORE36@COMPANYMAIL.COM  ,N/A,Harbor Dental ,Analyst,Dover,PA,60202-1234,
rachel moore,RACHEL.MOORE36@COMPANYMAIL.COM,N/A,Harbor Dental ,Analyst,Dover,PA,60202-1234,
Megan Jackson,MEGAN.JACKSON7@OUTLOOK.COM,N/A,  Harbor Dental  ,Analyst, Atlanta, GA ,, contacted  
 Brittany White,brittany.white31@companymail.com,(467)769-6890,Pine Street Auto,Sales Rep,Baltimore,nc,00000,VIP
matt johnson, matt.johnson30@outlook.com,(472)646-1916,Bright Path Labs ,, Columbus,sc,33081-1234,duplicate possible
John Johnson ,  john.johnson14@companymail.com  ,(654) 175-2323,BRIGHT PATH LABS,Director,Miami , FL ,,duplicate
  Daniel Thomas  ,daniel.thomas26@example.com ,N/A,summit roofing,,  Charleston  ,VA,00000,duplicate
  andrew johnson  ,ANDREW.JOHNSON40@YAHOO.COM,,  Summit Roofing  ,Coordinator,RICHMOND,tx,00000,n/a
David Clark,  david.clark4@outlook.com  ,,Pine Street Auto,Manager,Philadelphia ,MD,65026, contacted  
SARAH SMITH,  sarah.smith95@gmail.com  ,(958) 658-2424,Greenline Supply,Manager,DOVER, DE ,13478-1234,VIP
  David Lee  ,david.lee62@yahoo.com ,(327)391-2374,atlantic home group,Analyst,Raleigh ,MD,22021-1234,n/a
  Brittany White  ,  brittany.white31@companymail.com  ,(467)769-6890,Pine Street Auto,Sales Rep,Baltimore,nc,00000,VIP
James Thomas,james.thomas12@gmail.com,,  Harbor Dental  ,Owner, Philadelphia,tx,97207,Needs follow-up
emily moore,emily.moore80@outlook.com,N/A,atlantic home group,Sales Rep,Richmond,ga,98815-1234,new lead
John Martinez,john.martinez15@outlook.com,, Blue Peak Media,Owner, Raleigh, FL ,69303,Needs follow-up
  Kevin Harris  ,kevin.harris33@companymail.com,,Iron Oak Logistics ,Director,  Raleigh  ,fl,00000,Needs follow-up
Ryan Harris ,ryan.harris12@gmail.com,(607) 834-8842,BRIGHT PATH LABS,Director,  Columbus  ,PA,, contacted  
matt thompson,  matt.thompson86@companymail.com  ,(369) 960-8657, Bright Path Labs,Coordinator,Baltimore , FL ,00000, contacted  
matt martinez,MATT.MARTINEZ72@YAHOO.COM,(448)151-9700,  Pine Street Auto  ,Manager,Dover,OH,00000,new lead
olivia lee,olivia.lee93@example.com,,  North Ridge LLC  ,Owner,  Richmond  ,de,89220-1234,
  Emily Garcia  ,emily.garcia44@yahoo.com ,N/A,Greenline Supply ,Director,Philadelphia,md,22502-1234, contacted  
LAURA GARCIA,  laura.garcia88@yahoo.com  ,(420)955-6370,Greenline Supply,Sales Rep,RICHMOND,va,61936,VIP
Olivia Martinez,olivia.martinez56@outlook.com,(944) 474-7606,Greenline Supply ,Coordinator,COLUMBUS,md,82512,
Ashley Wilson,  ashley.wilson65@example.com  ,N/A,ATLANTIC HOME GROUP,Manager,RICHMOND, NC ,00000,new lead
 Chris Smith,chris.smith61@companymail.com,(293) 910-5990,  Cedar Creek Realty  ,Coordinator,PHILADELPHIA, FL ,00000,n/a
  Andrew Garcia  ,ANDREW.GARCIA79@GMAIL.COM,(547)671-6990,CEDAR CREEK REALTY,Coordinator,Raleigh ,ga,75546,new lead
  Nicole Lewis  ,nicole.lewis8@gmail.com,,Atlantic Home Group ,Director,Philadelphia,fl,, contacted  
  Andrew Garcia  , andrew.garcia20@gmail.com,N/A,north ridge llc,Sales Rep,  Philadelphia  ,fl,80912, contacted  
Chris Taylor , chris.taylor73@yahoo.com,N/A,Summit Roofing ,Coordinator,  Miami  ,pa,00000,VIP
MEGAN CLARK,megan.clark50@gmail.com ,(942)672-4977,  Blue Peak Media  ,Analyst,ATLANTA,GA,,
Unknown,,,N/A,,Baltimore,md,00000,bad row
RYAN THOMAS,RYAN.THOMAS83@COMPANYMAIL.COM,(294) 967-6432,BLUE PEAK MEDIA,Coordinator, Baltimore, VA ,61773,
megan clark,megan.clark50@gmail.com,(942)672-4977,  Blue Peak Media  ,Analyst,ATLANTA,GA,,
Andrew Jackson ,  ANDREW.JACKSON29@OUTLOOK.COM  ,N/A,  Blue Peak Media  ,Coordinator, Raleigh, SC ,38627-1234,VIP
Brittany Robinson ,brittany.robinson51@example.com,(556) 460-8501,  Harbor Dental  ,Manager,atlanta,FL,41270, contacted  
Ryan Smith ,ryan.smith92@outlook.com,,Greenline Supply ,,Atlanta,fl,,new lead
  Megan Taylor  ,megan.taylor57@outlook.com,, Atlantic Home Group,Director,MIAMI,GA,46302, contacted  
Nicole Lewis ,nicole.lewis8@gmail.com ,,Atlantic Home Group ,Director,Philadelphia,fl,, contacted  
  SARAH WHITE  , sarah.white94@companymail.com,(378)824-6846,  Greenline Supply  ,Coordinator,CHARLESTON,pa,48602-1234, contacted  
 Laura Martin,laura.martin57@gmail.com ,(240) 542-6280,GREENLINE SUPPLY,Sales Rep,Columbus , OH ,,duplicate possible
 David Johnson,david.johnson70@companymail.com,,harbor dental,Owner,raleigh,oh,00000,Needs follow-up
,N/A,,,,Baltimore,TX,00000,
RACHEL MOORE,rachel.moore31@outlook.com ,(739) 358-6807,blue peak media,Analyst, Richmond, OH ,,VIP
David Anderson,DAVID.ANDERSON36@OUTLOOK.COM,(312)776-1422,Harbor Dental,Director,PHILADELPHIA, GA ,12068-1234,Needs follow-up
EMILY MARTINEZ,emily.martinez11@companymail.com,(640) 716-3956,Bright Path Labs,Director,  Charleston  ,oh,00000,duplicate
  Andrew Jackson  ,ANDREW.JACKSON29@OUTLOOK.COM,N/A,  Blue Peak Media  ,Coordinator, Raleigh, SC ,38627-1234,VIP
Emily Johnson,emily.johnson38@gmail.com,(602) 320-8488,SUMMIT ROOFING,,Austin ,pa,45761,Needs follow-up
Ryan Smith,RYAN.SMITH69@COMPANYMAIL.COM,,blue peak media,Coordinator,Austin ,SC,,VIP
Olivia Lee ,OLIVIA.LEE93@EXAMPLE.COM,(510)115-4470,  North Ridge LLC  ,Owner,  Richmond  ,de,89220-1234,
matt garcia,MATT.GARCIA49@COMPANYMAIL.COM,(429) 844-3149,  Bright Path Labs  ,Owner,Dover,sc,59807-1234,follow up
ASHLEY THOMAS,ashley.thomas35@yahoo.com,(354)336-7275,  Bright Path Labs  ,Manager,Richmond,nc,00000,
Kevin Harris ,  kevin.harris56@yahoo.com  ,(258) 176-7655,BRIGHT PATH LABS,,Baltimore , SC ,14561-1234,new lead
Daniel Robinson ,  daniel.robinson90@companymail.com  ,(855) 649-9808,greenline supply,Owner,Columbus ,FL,,
Daniel White,daniel.white40@companymail.com,N/A, Harbor Dental,Coordinator,Richmond , VA ,63483,new lead
 David Anderson,  david.anderson6@yahoo.com  ,N/A,Iron Oak Logistics,Manager,Miami , DE ,00000,new lead
 Ashley Brown,  ashley.brown73@example.com  ,(706)971-6325, Greenline Supply,Manager,austin,de,,duplicate possible
Brittany Clark ,brittany.clark55@outlook.com ,, Atlantic Home Group,Coordinator, Raleigh,OH,42493,Needs follow-up
Ashley Harris, ashley.harris78@outlook.com,(661) 568-9260,Harbor Dental ,Director, Miami,ga,46528-1234, n/a 
laura martin,  laura.martin57@gmail.com  ,(228) 495-1813,GREENLINE SUPPLY,Sales Rep,Columbus , OH ,,duplicate possible
JAMES ANDERSON,james.anderson81@yahoo.com,N/A,Summit Roofing ,Sales Rep,austin, PA ,00000,DUPLICATE
 Ryan Lewis,ryan.lewis25@gmail.com,(874) 541-6804,  Bright Path Labs  ,Sales Rep,  Dover  ,TX,,n/a
  John Harris  , john.harris40@gmail.com,(938)152-8871,Harbor Dental ,Sales Rep,  Richmond  , FL ,29369-1234,new lead
  Ryan Martinez  ,ryan.martinez36@example.com ,(522)116-4394,  Greenline Supply  ,, Baltimore,VA,31292-1234,duplicate possible
 John Lewis,john.lewis44@outlook.com,N/A, Greenline Supply,Owner,Austin , TX ,17026-1234, contacted  
  Sarah Garcia  ,  sarah.garcia38@example.com  ,(683)349-8483, Blue Peak Media,Manager,Philadelphia , TX ,,n/a
Ashley Thomas,  ashley.thomas70@outlook.com  ,,Iron Oak Logistics ,Sales Rep,Dover ,fl,00000,VIP
Sarah Brown, sarah.brown30@example.com,(628)648-8779, Harbor Dental,Director,Columbus,fl,75811-1234,new lead
KEVIN MOORE,kevin.moore6@companymail.com,,  Atlantic Home Group  ,,Dover,DE,00000,duplicate possible
 Laura Anderson,laura.anderson10@companymail.com ,(690) 696-7566,greenline supply,Sales Rep,Philadelphia , FL ,93647,n/a
jane moore, jane.moore24@example.com,N/A,bright path labs,Director,  Columbus  ,TX,00000,VIP
Olivia Robinson ,  olivia.robinson56@gmail.com  ,N/A,greenline supply,, Austin,oh,,
ASHLEY WILSON,ashley.wilson65@example.com ,N/A,ATLANTIC HOME GROUP,Manager,RICHMOND, NC ,00000,follow up
 Rachel Wilson,rachel.wilson12@gmail.com,(340)491-3181,Bright Path Labs,Coordinator,Richmond ,DE,95199-1234,
Andrew Garcia, ANDREW.GARCIA79@GMAIL.COM,(547)671-6990,CEDAR CREEK REALTY,Coordinator,Raleigh ,ga,75546,
  Brittany White  ,brittany.white36@yahoo.com,(588)504-6654,bright path labs,Owner,charleston, OH ,00000,VIP
david robinson,david.robinson66@example.com,(888)417-4680,BRIGHT PATH LABS,Owner,Philadelphia,VA,72277,
Daniel Thomas ,daniel.thomas26@example.com ,N/A,summit roofing,,  Charleston  ,VA,00000, contacted  
 Chris Brown,chris.brown39@companymail.com,(938)740-9123, Atlantic Home Group,Owner,MIAMI,nc,,n/a
 LAURA GARCIA,laura.garcia88@yahoo.com ,(420)955-6370,Greenline Supply,Sales Rep,RICHMOND,va,61936, n/a 
Rachel Clark, rachel.clark86@companymail.com,N/A,BRIGHT PATH LABS,,Baltimore ,sc,,n/a
  Megan Taylor  ,megan.taylor57@outlook.com ,, Atlantic Home Group,Director,MIAMI,GA,46302,
Daniel Thomas,  daniel.thomas85@outlook.com  ,(251)905-6464,PINE STREET AUTO,,Richmond ,TX,82641-1234,duplicate possible
daniel white,  daniel.white70@yahoo.com  ,(824)595-4150,atlantic home group,Coordinator,austin,OH,47880-1234,VIP
ASHLEY CLARK,ashley.clark69@yahoo.com,(282) 599-6449,harbor dental,Manager,raleigh,fl,15992-1234,VIP
Ryan Jackson ,ryan.jackson98@companymail.com ,N/A, Blue Peak Media,Director,Dover ,va,50026,duplicate possible
  Andrew Garcia  , andrew.garcia86@example.com,(875) 599-1257,Harbor Dental,Coordinator,  Baltimore  ,ga,80220,duplicate possible
 Megan Smith,  megan.smith72@example.com  ,N/A,BRIGHT PATH LABS,Owner,Philadelphia ,DE,38905,Needs follow-up
Ashley Clark ,ashley.clark96@companymail.com ,,Greenline Supply ,,Philadelphia, TX ,81611-1234,
andrew davis, andrew.davis87@example.com,(739) 783-6053,Harbor Dental,Manager,miami,VA,,Needs follow-up
john thompson,john.thompson7@gmail.com ,,  Atlantic Home Group  ,Director,atlanta,FL,00000,DUPLICATE
JOHN LEWIS,  john.lewis1@gmail.com  ,(846) 160-4750,Cedar Creek Realty ,Manager,dover, GA ,38080-1234,VIP
Chris Anderson,chris.anderson51@gmail.com,N/A,  Summit Roofing  ,Director,Columbus, SC ,40647,duplicate possible
Unknown,none,N/A,,,Austin,md,,
  Chris Smith  ,  chris.smith61@companymail.com  ,(404) 874-5706,  Cedar Creek Realty  ,Coordinator,PHILADELPHIA, FL ,00000,n/a
 andrew davis, andrew.davis87@example.com,,Harbor Dental,Manager,miami,VA,,Needs follow-up
 kevin moore, kevin.moore28@companymail.com,,North Ridge LLC,Analyst,Raleigh, FL ,, contacted  
emily clark,emily.clark63@gmail.com,(571) 999-6038,Cedar Creek Realty,Sales Rep, Baltimore,GA,26483-1234,VIP
RYAN THOMAS,RYAN.THOMAS83@COMPANYMAIL.COM,(294) 967-6432,BLUE PEAK MEDIA,Coordinator, Baltimore, VA ,61773,
Rachel Harris , rachel.harris61@gmail.com,, Blue Peak Media,Analyst, Columbus,md,99486-1234,VIP
 James Johnson,JAMES.JOHNSON35@GMAIL.COM,N/A,  Pine Street Auto  ,Analyst,BALTIMORE,sc,,VIP
Brittany Lewis,brittany.lewis5@yahoo.com,N/A,PINE STREET AUTO,Sales Rep,Philadelphia, TX ,00000,VIP
SARAH MARTIN,sarah.martin59@yahoo.com,,north ridge llc,,Austin,de,00000,VIP
 Laura Thomas,LAURA.THOMAS72@EXAMPLE.COM,(296) 573-2669,ATLANTIC HOME GROUP,Manager,BALTIMORE,fl,58790,duplicate possible
SARAH SMITH,  sarah.smith49@example.com  ,N/A,Bright Path Labs,Analyst,Miami,pa,00000,VIP
jane moore,JANE.MOORE24@EXAMPLE.COM,N/A,bright path labs,Director,  Columbus  ,TX,00000,VIP
Megan Wilson , megan.wilson18@example.com,(850)650-3838, Cedar Creek Realty,Director,MIAMI,FL,51232,n/a
ryan harris,ryan.harris55@example.com,(477)413-5118,Bright Path Labs,Sales Rep,COLUMBUS,oh,80236-1234, contacted  
Andrew Brown,andrew.brown8@yahoo.com,N/A, Greenline Supply,Coordinator,Austin , TX ,68947-1234,Needs follow-up
NICOLE WHITE,nicole.white75@yahoo.com,N/A,North Ridge LLC ,Coordinator,Richmond,nc,,new lead
andrew johnson,andrew.johnson40@yahoo.com,,  Summit Roofing  ,Coordinator,RICHMOND,tx,00000,n/a
Unknown,N/A,N/A,Unknown Co,,,md,,bad row
Unknown,,N/A,N/A,,,TX,,missing data
  Jane Taylor  , jane.taylor3@example.com,N/A,Summit Roofing ,Sales Rep,  Miami  , GA ,00000, contacted  
  Matt Lee  ,matt.lee38@yahoo.com ,(895)934-2560, Cedar Creek Realty,Owner,philadelphia, SC ,27392-1234, contacted  
JAMES JOHNSON, james.johnson68@outlook.com,(270)709-2113, North Ridge LLC,Owner,Atlanta ,TX,85880, n/a 
sarah davis,sarah.davis78@outlook.com,(551) 308-5325,Cedar Creek Realty,Sales Rep, Philadelphia,nc,,n/a
  John Martinez  ,john.martinez32@companymail.com,(976) 146-1158, Cedar Creek Realty,Manager,raleigh, NC ,,VIP
  Rachel Clark  ,rachel.clark86@companymail.com ,N/A,BRIGHT PATH LABS,,Baltimore ,sc,,n/a
 Andrew Garcia,ANDREW.GARCIA86@EXAMPLE.COM,(875) 599-1257,Harbor Dental,Coordinator,  Baltimore  ,ga,80220,follow up
 Mike Johnson,mike.johnson71@companymail.com,,Blue Peak Media ,,Miami, FL ,40115-1234,n/a
RYAN THOMPSON ,ryan.thompson18@example.com ,N/A,Iron Oak Logistics ,Owner, Miami,sc,,
Kevin Robinson,KEVIN.ROBINSON22@YAHOO.COM,(787)790-2889,  Harbor Dental  ,Coordinator,Baltimore,TX,11610,
  Daniel Martinez  ,DANIEL.MARTINEZ70@COMPANYMAIL.COM,, Bright Path Labs,Analyst,raleigh,VA,45200, contacted  
  John Robinson  ,john.robinson53@companymail.com ,N/A,Pine Street Auto,Owner,richmond,DE,,VIP
 John Martinez,john.martinez32@companymail.com,N/A, Cedar Creek Realty,Manager,raleigh, NC ,,VIP
Mike Moore ,  mike.moore58@example.com  ,N/A,Bright Path Labs,Analyst, Austin, GA ,49691,Needs follow-up
Megan Davis ,megan.davis17@outlook.com,N/A,Atlantic Home Group ,Analyst,COLUMBUS,FL,55371-1234,Needs follow-up
Matt Johnson ,matt.johnson30@outlook.com,(472)646-1916,Bright Path Labs ,, Columbus,sc,33081-1234,duplicate possible
ashley clark,ASHLEY.CLARK69@YAHOO.COM,N/A,harbor dental,Manager,raleigh,fl,15992-1234,VIP
RACHEL CLARK, rachel.clark86@companymail.com,N/A,BRIGHT PATH LABS,,Baltimore ,sc,,n/a
  Nicole Thompson  ,nicole.thompson13@companymail.com ,N/A, Iron Oak Logistics,Manager,philadelphia,FL,,new lead
 ryan davis,  ryan.davis54@outlook.com  ,N/A,  Pine Street Auto  ,Manager,Baltimore ,TX,00000, n/a 
 Sarah Brown,sarah.brown30@example.com ,(628)648-8779, Harbor Dental,Director,Columbus,fl,75811-1234,duplicate
nicole thompson,  nicole.thompson1@outlook.com  ,(632) 448-5552,Pine Street Auto,Analyst,Austin,ga,,n/a
Olivia Brown,olivia.brown47@gmail.com ,,CEDAR CREEK REALTY,Director,Austin ,oh,99167-1234,follow up
Ryan Martinez,ryan.martinez59@outlook.com ,(625) 567-1945, Blue Peak Media,Director,Columbus, TX ,38560,new lead
Unknown,none,,Unknown Co,,Baltimore,TX,00000,
RYAN JACKSON,RYAN.JACKSON98@COMPANYMAIL.COM,N/A, Blue Peak Media,Director,Dover ,va,50026, n/a 
Megan Martin ,MEGAN.MARTIN14@YAHOO.COM,(677) 225-5382,Atlantic Home Group,Director, Charleston, OH ,42541-1234,n/a
john lewis,  john.lewis78@yahoo.com  ,,SUMMIT ROOFING,Director,atlanta,MD,,
  ,none,N/A,Unknown Co,,Baltimore,TX,00000,bad row
SARAH TAYLOR,sarah.taylor31@outlook.com ,,Pine Street Auto,Manager,raleigh, VA ,47056,VIP
olivia brown,olivia.brown17@companymail.com ,(630) 474-9951,Cedar Creek Realty,Coordinator,Baltimore,SC,44365,new lead
Daniel Martinez, daniel.martinez23@yahoo.com,(239)505-6431,Iron Oak Logistics,Sales Rep, Atlanta,tx,,n/a
 Kevin Harris,KEVIN.HARRIS65@YAHOO.COM,(595) 183-7142,  North Ridge LLC  ,Sales Rep,miami,MD,,n/a
JOHN LEWIS,john.lewis78@yahoo.com ,(426) 754-2705,SUMMIT ROOFING,Director,atlanta,MD,,
 Matt Brown, matt.brown90@yahoo.com,(965) 186-2565,North Ridge LLC ,Coordinator,Dover,oh,27132-1234,Needs follow-up
  john thomas  ,JOHN.THOMAS33@GMAIL.COM,(648)850-7875, Pine Street Auto,Analyst, Dover,va,81568,follow up
 Chris Garcia,CHRIS.GARCIA72@EXAMPLE.COM,N/A,north ridge llc,Owner,Columbus , FL ,,
  rachel jackson  ,rachel.jackson22@example.com,(647)964-2734, Blue Peak Media,Coordinator, Miami, MD ,,VIP
Mike Robinson ,mike.robinson65@example.com ,,harbor dental,Sales Rep,Richmond,oh,55193-1234,VIP
  Laura Anderson  , laura.anderson91@gmail.com,(370) 810-5906,blue peak media,Director,miami,va,00000,duplicate possible
 Ashley Brown, ashley.brown73@example.com,(706)971-6325, Greenline Supply,Manager,austin,de,,follow up
 Matt White,matt.white35@outlook.com,N/A, Summit Roofing,Director, Charleston,SC,56961-1234,
Jane Robinson ,jane.robinson65@companymail.com,(782)129-3846,ATLANTIC HOME GROUP,,Richmond,NC,14334,Needs follow-up
  Emily Johnson  , emily.johnson84@gmail.com,(688)179-3174,Summit Roofing ,Sales Rep, Raleigh,DE,11056,follow up
  John Johnson  ,  john.johnson14@companymail.com  ,(654) 175-2323,BRIGHT PATH LABS,Director,Miami , FL ,,
SARAH WHITE,  sarah.white94@companymail.com  ,(378)824-6846,  Greenline Supply  ,Coordinator,CHARLESTON,pa,48602-1234, contacted  
 Andrew Garcia,ANDREW.GARCIA79@GMAIL.COM,(547)671-6990,CEDAR CREEK REALTY,Coordinator,Raleigh ,ga,75546,follow up
Andrew White,  andrew.white56@yahoo.com  ,,North Ridge LLC ,,Miami ,tx,,Needs follow-up
  Laura Lee  ,laura.lee22@example.com ,(357) 275-6531,Cedar Creek Realty,Sales Rep,Richmond ,oh,00000,duplicate possible
emily martinez,emily.martinez11@companymail.com,(640) 716-3956,Bright Path Labs,Director,  Charleston  ,oh,00000, contacted  
  Daniel Clark  ,daniel.clark93@gmail.com ,(963) 454-1879,harbor dental,Coordinator,Miami , PA ,61996,VIP
  Nicole Lee  ,NICOLE.LEE4@YAHOO.COM,,  Iron Oak Logistics  ,Owner,ATLANTA,nc,24777-1234,
  rachel jackson  , rachel.jackson22@example.com,(647)964-2734, Blue Peak Media,Coordinator, Miami, MD ,,VIP
 Emily Moore, emily.moore80@outlook.com,N/A,atlantic home group,Sales Rep,Richmond,ga,98815-1234,new lead
